CoB,P.C,L.D,B.D,L.B,Fr,RR,hull
-2.3,0.568,4.78,3.99,3.17,0.125,0.11,1
-2.3,0.568,4.78,3.99,3.17,0.15,0.27,1
-2.3,0.568,4.78,3.99,3.17,0.175,0.47,1
-2.3,0.568,4.78,3.99,3.17,0.2,0.78,1
-2.3,0.568,4.78,3.99,3.17,0.225,1.18,1
-2.3,0.568,4.78,3.99,3.17,0.25,1.82,1
-2.3,0.568,4.78,3.99,3.17,0.275,2.61,1
-2.3,0.568,4.78,3.99,3.17,0.3,3.76,1
-2.3,0.568,4.78,3.99,3.17,0.325,4.99,1
-2.3,0.568,4.78,3.99,3.17,0.35,7.16,1
-2.3,0.568,4.78,3.99,3.17,0.375,11.93,1
-2.3,0.568,4.78,3.99,3.17,0.4,20.11,1
-2.3,0.568,4.78,3.99,3.17,0.425,32.75,1
-2.3,0.568,4.78,3.99,3.17,0.45,49.49,1
-2.3,0.569,4.78,3.04,3.64,0.125,0.04,2
-2.3,0.569,4.78,3.04,3.64,0.15,0.17,2
-2.3,0.569,4.78,3.04,3.64,0.175,0.37,2
-2.3,0.569,4.78,3.04,3.64,0.2,0.66,2
-2.3,0.569,4.78,3.04,3.64,0.225,1.06,2
-2.3,0.569,4.78,3.04,3.64,0.25,1.59,2
-2.3,0.569,4.78,3.04,3.64,0.275,2.33,2
-2.3,0.569,4.78,3.04,3.64,0.3,3.29,2
-2.3,0.569,4.78,3.04,3.64,0.325,4.61,2
-2.3,0.569,4.78,3.04,3.64,0.35,7.11,2
-2.3,0.569,4.78,3.04,3.64,0.375,11.99,2
-2.3,0.569,4.78,3.04,3.64,0.4,21.09,2
-2.3,0.569,4.78,3.04,3.64,0.425,35.01,2
-2.3,0.569,4.78,3.04,3.64,0.45,51.8,2
-2.3,0.565,4.78,5.35,2.76,0.125,0.09,3
-2.3,0.565,4.78,5.35,2.76,0.15,0.29,3
-2.3,0.565,4.78,5.35,2.76,0.175,0.56,3
-2.3,0.565,4.78,5.35,2.76,0.2,0.86,3
-2.3,0.565,4.78,5.35,2.76,0.225,1.31,3
-2.3,0.565,4.78,5.35,2.76,0.25,1.99,3
-2.3,0.565,4.78,5.35,2.76,0.275,2.94,3
-2.3,0.565,4.78,5.35,2.76,0.3,4.21,3
-2.3,0.565,4.78,5.35,2.76,0.325,5.54,3
-2.3,0.565,4.78,5.35,2.76,0.35,8.25,3
-2.3,0.565,4.78,5.35,2.76,0.375,13.08,3
-2.3,0.565,4.78,5.35,2.76,0.4,21.4,3
-2.3,0.565,4.78,5.35,2.76,0.425,33.14,3
-2.3,0.565,4.78,5.35,2.76,0.45,50.14,3
-2.3,0.564,5.1,3.95,3.53,0.125,0.2,4
-2.3,0.564,5.1,3.95,3.53,0.15,0.35,4
-2.3,0.564,5.1,3.95,3.53,0.175,0.65,4
-2.3,0.564,5.1,3.95,3.53,0.2,0.93,4
-2.3,0.564,5.1,3.95,3.53,0.225,1.37,4
-2.3,0.564,5.1,3.95,3.53,0.25,1.97,4
-2.3,0.564,5.1,3.95,3.53,0.275,2.83,4
-2.3,0.564,5.1,3.95,3.53,0.3,3.99,4
-2.3,0.564,5.1,3.95,3.53,0.325,5.19,4
-2.3,0.564,5.1,3.95,3.53,0.35,8.03,4
-2.3,0.564,5.1,3.95,3.53,0.375,12.86,4
-2.3,0.564,5.1,3.95,3.53,0.4,21.51,4
-2.3,0.564,5.1,3.95,3.53,0.425,33.97,4
-2.3,0.564,5.1,3.95,3.53,0.45,50.36,4
-2.4,0.574,4.36,3.96,2.76,0.125,0.2,5
-2.4,0.574,4.36,3.96,2.76,0.15,0.35,5
-2.4,0.574,4.36,3.96,2.76,0.175,0.65,5
-2.4,0.574,4.36,3.96,2.76,0.2,0.93,5
-2.4,0.574,4.36,3.96,2.76,0.225,1.37,5
-2.4,0.574,4.36,3.96,2.76,0.25,1.97,5
-2.4,0.574,4.36,3.96,2.76,0.275,2.83,5
-2.4,0.574,4.36,3.96,2.76,0.3,3.99,5
-2.4,0.574,4.36,3.96,2.76,0.325,5.19,5
-2.4,0.574,4.36,3.96,2.76,0.35,8.03,5
-2.4,0.574,4.36,3.96,2.76,0.375,12.86,5
-2.4,0.574,4.36,3.96,2.76,0.4,21.51,5
-2.4,0.574,4.36,3.96,2.76,0.425,33.97,5
-2.4,0.574,4.36,3.96,2.76,0.45,50.36,5
-2.4,0.568,4.34,2.98,3.15,0.125,0.12,6
-2.4,0.568,4.34,2.98,3.15,0.15,0.26,6
-2.4,0.568,4.34,2.98,3.15,0.175,0.43,6
-2.4,0.568,4.34,2.98,3.15,0.2,0.69,6
-2.4,0.568,4.34,2.98,3.15,0.225,1.09,6
-2.4,0.568,4.34,2.98,3.15,0.25,1.67,6
-2.4,0.568,4.34,2.98,3.15,0.275,2.46,6
-2.4,0.568,4.34,2.98,3.15,0.3,3.43,6
-2.4,0.568,4.34,2.98,3.15,0.325,4.62,6
-2.4,0.568,4.34,2.98,3.15,0.35,6.86,6
-2.4,0.568,4.34,2.98,3.15,0.375,11.56,6
-2.4,0.568,4.34,2.98,3.15,0.4,20.63,6
-2.4,0.568,4.34,2.98,3.15,0.425,34.5,6
-2.4,0.568,4.34,2.98,3.15,0.45,54.23,6
-2.3,0.562,5.14,4.95,3.17,0.125,0.28,7
-2.3,0.562,5.14,4.95,3.17,0.15,0.44,7
-2.3,0.562,5.14,4.95,3.17,0.175,0.7,7
-2.3,0.562,5.14,4.95,3.17,0.2,1.07,7
-2.3,0.562,5.14,4.95,3.17,0.225,1.57,7
-2.3,0.562,5.14,4.95,3.17,0.25,2.23,7
-2.3,0.562,5.14,4.95,3.17,0.275,3.09,7
-2.3,0.562,5.14,4.95,3.17,0.3,4.09,7
-2.3,0.562,5.14,4.95,3.17,0.325,5.82,7
-2.3,0.562,5.14,4.95,3.17,0.35,8.28,7
-2.3,0.562,5.14,4.95,3.17,0.375,12.8,7
-2.3,0.562,5.14,4.95,3.17,0.4,20.41,7
-2.3,0.562,5.14,4.95,3.17,0.425,32.34,7
-2.3,0.562,5.14,4.95,3.17,0.45,47.29,7
-2.4,0.585,4.78,3.84,3.32,0.125,0.2,8
-2.4,0.585,4.78,3.84,3.32,0.15,0.38,8
-2.4,0.585,4.78,3.84,3.32,0.175,0.64,8
-2.4,0.585,4.78,3.84,3.32,0.2,0.97,8
-2.4,0.585,4.78,3.84,3.32,0.225,1.36,8
-2.4,0.585,4.78,3.84,3.32,0.25,1.98,8
-2.4,0.585,4.78,3.84,3.32,0.275,2.91,8
-2.4,0.585,4.78,3.84,3.32,0.3,4.35,8
-2.4,0.585,4.78,3.84,3.32,0.325,5.79,8
-2.4,0.585,4.78,3.84,3.32,0.35,8.04,8
-2.4,0.585,4.78,3.84,3.32,0.375,12.15,8
-2.4,0.585,4.78,3.84,3.32,0.4,19.18,8
-2.4,0.585,4.78,3.84,3.32,0.425,30.09,8
-2.4,0.585,4.78,3.84,3.32,0.45,44.38,8
-2.2,0.546,4.78,4.13,3.07,0.125,0.15,9
-2.2,0.546,4.78,4.13,3.07,0.15,0.32,9
-2.2,0.546,4.78,4.13,3.07,0.175,0.55,9
-2.2,0.546,4.78,4.13,3.07,0.2,0.86,9
-2.2,0.546,4.78,4.13,3.07,0.225,1.24,9
-2.2,0.546,4.78,4.13,3.07,0.25,1.76,9
-2.2,0.546,4.78,4.13,3.07,0.275,2.49,9
-2.2,0.546,4.78,4.13,3.07,0.3,3.45,9
-2.2,0.546,4.78,4.13,3.07,0.325,4.83,9
-2.2,0.546,4.78,4.13,3.07,0.35,7.37,9
-2.2,0.546,4.78,4.13,3.07,0.375,12.76,9
-2.2,0.546,4.78,4.13,3.07,0.4,21.99,9
-2.2,0.546,4.78,4.13,3.07,0.425,35.64,9
-2.2,0.546,4.78,4.13,3.07,0.45,53.07,9
0,0.565,4.77,3.99,3.15,0.125,0.11,10
0,0.565,4.77,3.99,3.15,0.15,0.24,10
0,0.565,4.77,3.99,3.15,0.175,0.49,10
0,0.565,4.77,3.99,3.15,0.2,0.79,10
0,0.565,4.77,3.99,3.15,0.225,1.28,10
0,0.565,4.77,3.99,3.15,0.25,1.96,10
0,0.565,4.77,3.99,3.15,0.275,2.88,10
0,0.565,4.77,3.99,3.15,0.3,4.14,10
0,0.565,4.77,3.99,3.15,0.325,5.96,10
0,0.565,4.77,3.99,3.15,0.35,9.07,10
0,0.565,4.77,3.99,3.15,0.375,14.93,10
0,0.565,4.77,3.99,3.15,0.4,24.13,10
0,0.565,4.77,3.99,3.15,0.425,38.12,10
0,0.565,4.77,3.99,3.15,0.45,55.44,10
-5,0.565,4.77,3.99,3.15,0.125,0.07,11
-5,0.565,4.77,3.99,3.15,0.15,0.18,11
-5,0.565,4.77,3.99,3.15,0.175,0.4,11
-5,0.565,4.77,3.99,3.15,0.2,0.7,11
-5,0.565,4.77,3.99,3.15,0.225,1.14,11
-5,0.565,4.77,3.99,3.15,0.25,1.83,11
-5,0.565,4.77,3.99,3.15,0.275,2.77,11
-5,0.565,4.77,3.99,3.15,0.3,4.12,11
-5,0.565,4.77,3.99,3.15,0.325,5.41,11
-5,0.565,4.77,3.99,3.15,0.35,7.87,11
-5,0.565,4.77,3.99,3.15,0.375,12.71,11
-5,0.565,4.77,3.99,3.15,0.4,21.02,11
-5,0.565,4.77,3.99,3.15,0.425,34.58,11
-5,0.565,4.77,3.99,3.15,0.45,51.77,11
0,0.565,5.1,3.94,3.51,0.125,0.08,12
0,0.565,5.1,3.94,3.51,0.15,0.26,12
0,0.565,5.1,3.94,3.51,0.175,0.5,12
0,0.565,5.1,3.94,3.51,0.2,0.83,12
0,0.565,5.1,3.94,3.51,0.225,1.28,12
0,0.565,5.1,3.94,3.51,0.25,1.9,12
0,0.565,5.1,3.94,3.51,0.275,2.68,12
0,0.565,5.1,3.94,3.51,0.3,3.76,12
0,0.565,5.1,3.94,3.51,0.325,5.57,12
0,0.565,5.1,3.94,3.51,0.35,8.76,12
0,0.565,5.1,3.94,3.51,0.375,14.24,12
0,0.565,5.1,3.94,3.51,0.4,23.05,12
0,0.565,5.1,3.94,3.51,0.425,35.46,12
0,0.565,5.1,3.94,3.51,0.45,51.99,12
-5,0.565,5.1,3.94,3.51,0.125,0.08,13
-5,0.565,5.1,3.94,3.51,0.15,0.24,13
-5,0.565,5.1,3.94,3.51,0.175,0.45,13
-5,0.565,5.1,3.94,3.51,0.2,0.77,13
-5,0.565,5.1,3.94,3.51,0.225,1.19,13
-5,0.565,5.1,3.94,3.51,0.25,1.76,13
-5,0.565,5.1,3.94,3.51,0.275,2.59,13
-5,0.565,5.1,3.94,3.51,0.3,3.85,13
-5,0.565,5.1,3.94,3.51,0.325,5.27,13
-5,0.565,5.1,3.94,3.51,0.35,7.74,13
-5,0.565,5.1,3.94,3.51,0.375,12.4,13
-5,0.565,5.1,3.94,3.51,0.4,20.91,13
-5,0.565,5.1,3.94,3.51,0.425,33.23,13
-5,0.565,5.1,3.94,3.51,0.45,49.14,13
-2.3,0.53,5.11,3.69,3.51,0.125,0.08,14
-2.3,0.53,5.11,3.69,3.51,0.15,0.25,14
-2.3,0.53,5.11,3.69,3.51,0.175,0.46,14
-2.3,0.53,5.11,3.69,3.51,0.2,0.75,14
-2.3,0.53,5.11,3.69,3.51,0.225,1.11,14
-2.3,0.53,5.11,3.69,3.51,0.25,1.57,14
-2.3,0.53,5.11,3.69,3.51,0.275,2.17,14
-2.3,0.53,5.11,3.69,3.51,0.3,2.98,14
-2.3,0.53,5.11,3.69,3.51,0.325,4.42,14
-2.3,0.53,5.11,3.69,3.51,0.35,7.84,14
-2.3,0.53,5.11,3.69,3.51,0.375,14.11,14
-2.3,0.53,5.11,3.69,3.51,0.4,24.14,14
-2.3,0.53,5.11,3.69,3.51,0.425,37.95,14
-2.3,0.53,5.11,3.69,3.51,0.45,55.17,14
-2.3,0.53,4.76,3.68,3.16,0.125,0.1,15
-2.3,0.53,4.76,3.68,3.16,0.15,0.23,15
-2.3,0.53,4.76,3.68,3.16,0.175,0.47,15
-2.3,0.53,4.76,3.68,3.16,0.2,0.76,15
-2.3,0.53,4.76,3.68,3.16,0.225,1.15,15
-2.3,0.53,4.76,3.68,3.16,0.25,1.65,15
-2.3,0.53,4.76,3.68,3.16,0.275,2.28,15
-2.3,0.53,4.76,3.68,3.16,0.3,3.09,15
-2.3,0.53,4.76,3.68,3.16,0.325,4.41,15
-2.3,0.53,4.76,3.68,3.16,0.35,7.51,15
-2.3,0.53,4.76,3.68,3.16,0.375,13.77,15
-2.3,0.53,4.76,3.68,3.16,0.4,23.96,15
-2.3,0.53,4.76,3.68,3.16,0.425,37.38,15
-2.3,0.53,4.76,3.68,3.16,0.45,56.46,15
-2.3,0.53,4.34,2.81,3.15,0.125,0.05,16
-2.3,0.53,4.34,2.81,3.15,0.15,0.17,16
-2.3,0.53,4.34,2.81,3.15,0.175,0.35,16
-2.3,0.53,4.34,2.81,3.15,0.2,0.63,16
-2.3,0.53,4.34,2.81,3.15,0.225,1.01,16
-2.3,0.53,4.34,2.81,3.15,0.25,1.43,16
-2.3,0.53,4.34,2.81,3.15,0.275,2.05,16
-2.3,0.53,4.34,2.81,3.15,0.3,2.73,16
-2.3,0.53,4.34,2.81,3.15,0.325,3.87,16
-2.3,0.53,4.34,2.81,3.15,0.35,7.19,16
-2.3,0.53,4.34,2.81,3.15,0.375,13.96,16
-2.3,0.53,4.34,2.81,3.15,0.4,25.18,16
-2.3,0.53,4.34,2.81,3.15,0.425,41.34,16
-2.3,0.53,4.34,2.81,3.15,0.45,62.42,16
0,0.6,4.78,4.24,3.15,0.125,0.03,17
0,0.6,4.78,4.24,3.15,0.15,0.18,17
0,0.6,4.78,4.24,3.15,0.175,0.4,17
0,0.6,4.78,4.24,3.15,0.2,0.73,17
0,0.6,4.78,4.24,3.15,0.225,1.3,17
0,0.6,4.78,4.24,3.15,0.25,2.16,17
0,0.6,4.78,4.24,3.15,0.275,3.35,17
0,0.6,4.78,4.24,3.15,0.3,5.06,17
0,0.6,4.78,4.24,3.15,0.325,7.14,17
0,0.6,4.78,4.24,3.15,0.35,10.36,17
0,0.6,4.78,4.24,3.15,0.375,15.25,17
0,0.6,4.78,4.24,3.15,0.4,23.15,17
0,0.6,4.78,4.24,3.15,0.425,34.62,17
0,0.6,4.78,4.24,3.15,0.45,51.5,17
-5,0.6,4.78,4.24,3.15,0.125,0.06,18
-5,0.6,4.78,4.24,3.15,0.15,0.15,18
-5,0.6,4.78,4.24,3.15,0.175,0.34,18
-5,0.6,4.78,4.24,3.15,0.2,0.63,18
-5,0.6,4.78,4.24,3.15,0.225,1.13,18
-5,0.6,4.78,4.24,3.15,0.25,1.85,18
-5,0.6,4.78,4.24,3.15,0.275,2.84,18
-5,0.6,4.78,4.24,3.15,0.3,4.34,18
-5,0.6,4.78,4.24,3.15,0.325,6.2,18
-5,0.6,4.78,4.24,3.15,0.35,8.62,18
-5,0.6,4.78,4.24,3.15,0.375,12.49,18
-5,0.6,4.78,4.24,3.15,0.4,20.41,18
-5,0.6,4.78,4.24,3.15,0.425,32.46,18
-5,0.6,4.78,4.24,3.15,0.45,50.94,18
0,0.53,4.78,3.75,3.15,0.125,0.16,19
0,0.53,4.78,3.75,3.15,0.15,0.32,19
0,0.53,4.78,3.75,3.15,0.175,0.59,19
0,0.53,4.78,3.75,3.15,0.2,0.92,19
0,0.53,4.78,3.75,3.15,0.225,1.37,19
0,0.53,4.78,3.75,3.15,0.25,1.94,19
0,0.53,4.78,3.75,3.15,0.275,2.62,19
0,0.53,4.78,3.75,3.15,0.3,3.7,19
0,0.53,4.78,3.75,3.15,0.325,5.45,19
0,0.53,4.78,3.75,3.15,0.35,9.45,19
0,0.53,4.78,3.75,3.15,0.375,16.31,19
0,0.53,4.78,3.75,3.15,0.4,27.34,19
0,0.53,4.78,3.75,3.15,0.425,41.77,19
0,0.53,4.78,3.75,3.15,0.45,60.85,19
-5,0.53,4.78,3.75,3.15,0.125,0.09,20
-5,0.53,4.78,3.75,3.15,0.15,0.24,20
-5,0.53,4.78,3.75,3.15,0.175,0.47,20
-5,0.53,4.78,3.75,3.15,0.2,0.78,20
-5,0.53,4.78,3.75,3.15,0.225,1.21,20
-5,0.53,4.78,3.75,3.15,0.25,1.85,20
-5,0.53,4.78,3.75,3.15,0.275,2.62,20
-5,0.53,4.78,3.75,3.15,0.3,3.69,20
-5,0.53,4.78,3.75,3.15,0.325,5.07,20
-5,0.53,4.78,3.75,3.15,0.35,7.95,20
-5,0.53,4.78,3.75,3.15,0.375,13.73,20
-5,0.53,4.78,3.75,3.15,0.4,23.55,20
-5,0.53,4.78,3.75,3.15,0.425,37.14,20
-5,0.53,4.78,3.75,3.15,0.45,55.87,20
-2.3,0.6,5.1,4.17,3.51,0.125,0.01,21
-2.3,0.6,5.1,4.17,3.51,0.15,0.16,21
-2.3,0.6,5.1,4.17,3.51,0.175,0.39,21
-2.3,0.6,5.1,4.17,3.51,0.2,0.73,21
-2.3,0.6,5.1,4.17,3.51,0.225,1.24,21
-2.3,0.6,5.1,4.17,3.51,0.25,1.96,21
-2.3,0.6,5.1,4.17,3.51,0.275,3.04,21
-2.3,0.6,5.1,4.17,3.51,0.3,4.46,21
-2.3,0.6,5.1,4.17,3.51,0.325,6.31,21
-2.3,0.6,5.1,4.17,3.51,0.35,8.68,21
-2.3,0.6,5.1,4.17,3.51,0.375,12.39,21
-2.3,0.6,5.1,4.17,3.51,0.4,20.14,21
-2.3,0.6,5.1,4.17,3.51,0.425,31.77,21
-2.3,0.6,5.1,4.17,3.51,0.45,47.13,21
-2.3,0.6,4.34,4.23,2.73,0.125,0.04,22
-2.3,0.6,4.34,4.23,2.73,0.15,0.17,22
-2.3,0.6,4.34,4.23,2.73,0.175,0.36,22
-2.3,0.6,4.34,4.23,2.73,0.2,0.64,22
-2.3,0.6,4.34,4.23,2.73,0.225,1.02,22
-2.3,0.6,4.34,4.23,2.73,0.25,1.62,22
-2.3,0.6,4.34,4.23,2.73,0.275,2.63,22
-2.3,0.6,4.34,4.23,2.73,0.3,4.15,22
-2.3,0.6,4.34,4.23,2.73,0.325,6,22
-2.3,0.6,4.34,4.23,2.73,0.35,8.47,22
-2.3,0.6,4.34,4.23,2.73,0.375,12.27,22
-2.3,0.6,4.34,4.23,2.73,0.4,19.59,22
-2.3,0.6,4.34,4.23,2.73,0.425,30.48,22
-2.3,0.6,4.34,4.23,2.73,0.45,46.66,22
